jobTitle,preferredjobs
"landscaping,warehouse,cleaner",cleaner
Construction,"Retail Assistant, Customer Service Assistant, Sales Assistant"
"Club travel school run.",
"Wearhouse,Brick laying","Wearhouse, Fork lift driver"
"General worker.,Bar manager,Hgv driver 25 years",
"Volunteer Treasurer",
Cleaner,"Cleaning, pet grooming"
"Crew member",Retail
"WAREHOUSE OPERATIVE","electrical assembly, electronic assembly, office admin"
"Sandal motors / salesman,Retail / Customer service / stacking shelfs","Car Salesmen"
Housewife,"Warehouse Operative, Retail asssistant"
"Health Care Assistant",
"Shift manager","Shift manager, Manager, Admin"
"bar/food assistant",
"Care support worker,Hospitality","Care support worker"
"warehouse operative",
"Lunchtime/After school Supervisor","Teaching assistant, Dance Teacher, Bar Work"
"Hairdresser,Care",Hairdresser
"Customer service / Admin,Sales Manager / gym membership",
Construction,"Warehouse, Driving, Distribution centre"
Nurse,
"Manufactoring,Picking/Packing,stock controller,warehouse","warehouse, picking and packing"
Receptionist,"Customer Service, Hospitality"
"Labouring,Wearhouse","CSCS, Wearhouse, Retail"
"Cleaner,SEWING FACTORY HELPER",
Retail,"Creative Making & Design, Cleaning People's Homes, Party Planning (Multiple Occassions: aka: Birthdays, Weddings, Christmas, etc)"
"Flt driver,Factory operator,Couch/Trainer",
"Front counter and cleaning",
"Landscaper,Construction worker,Hgv delivery driver","Hgv driver, Construction worker labourer"
"kitchen assistant","kitchen assistant, hospitality, retail assistant"
catering,
"Telesales agent,Plasterer,Sales advisor","Recruitment consultant, Sales advisor, Customer service advisor"
"General Assistant","Football coaching, Retail, Admin"
"Delivery Driver,Waiter","Analytics, IT, Plumbing"
,"I am a Bussiness Administration graduate from El Salvador"
"Book binder assistant,Warehouse,Carer",Warehouse
"Deliver driver",
"Labourer,Sales assistant,P2P sales",
"Hanger Sorter,Warehouse Operative","Bus Driver"
"Schoo dinner lady,Cleaner","Catering assistant, Dinner lady"
"Warehouse operative","Animal technician, Retail assistant, Store assistant"
"Delivery driver,Taxi driver,Textile worker","Delivery driver"
"Waitress,Kitchen Assitant,Assistant Manager","Retail, Office work"
"Van Driver,Warehousing Supervisor,Plumbing/Gas Engineers Mate","Apprentice Bricklayer, Apprentice Electrician, Apprentice Plasterer"
"Waitress and barstaff,Waitress",Retail
"111 Health Advisor,Unit helper/volunteer with girlguiding,Young Healthwatch volunteer","Teaching assistant, Assistant psychologist, Trainee EHMP, SEN worker"
"Counter Clerk,Care Assistant","Counter  Clerk, Delivery Driver"
Barstaff,
"Kitchen assistant,Care assistant",
"Care Assistant","Care Assistant"
